实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
美国,美利坚合众国[10] ,,United States of America[10] ,,美国[10] ,,USA[10] ,总统制共和制,"总统:唐纳德·特朗普,副总统:迈克·彭斯[11] ",华盛顿[10] ,9370000 km2[10] ,北美洲,UTC-4至UTC-12[10] ,美元[10] ,欧裔美国人、拉丁裔、非裔美国人、亚裔美国人、美洲原住民[10] ,基督新教、天主教、摩门教、犹太教[10] ,"纽约,洛杉矶,芝加哥,休斯敦,费城,旧金山,波士顿,匹兹堡等[10] ",英语[10] ,《星光灿烂的旗帜》(The Star-Spangled Banner),1776年7月4日(独立日)[10] ,纽约,山姆大叔、自由女神、超级英雄,英美法系(普通法),,,,,,,,,,,,,,,,,
中国,中国,,China,,中、华、夏,,CHN,人民代表大会制度,国家主席习近平、国务院总理李克强、全国人大常委会委员长栗战书,北京,"陆地面积960万平方公里,领海约470万平方公里",亚洲,东八区,人民币,汉族,佛教、道教、伊斯兰教、基督教,上海、广州、深圳、武汉、台北、杭州、南京、成都、重庆、沈阳、西安等,汉语,义勇军进行曲,10月1日,,,,,,,,,,,,,,,,,,,,
洛杉矶,,洛杉矶,,,,,,,,,,,,,,,,,,,,,,,市,美国加利福尼亚州,美国西南部太平洋沿岸,,,"迪斯尼乐园,环球影城,比弗利山庄,好莱坞,圣费尔南多谷",加州理工大学、南加州大学等,,,,,,,,,
香港,香港,,Hong Kong,,,香江、香岛、东方之珠,,行政主导的代议民主制,,,,,GMT+8,港元(HK$),,,,,,,,,英美法系,,特别行政区,中国华南,"珠江三角洲东南部,珠江口东岸,南海北部","香港岛、九龙半岛、新界,共18区",香港岛中西区添马添美道2号,维多利亚港、香港迪士尼乐园、海洋公园、香港杜莎夫人蜡像馆等,,,,,,,,,,
太平洋,太平洋,,Pacific Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,亚太经合组织、环太平洋大学联盟等,
英国,大不列颠及北爱尔兰联合王国[1] ,,United Kingdom of Great Britain and Northern Ireland,,英国,,GBR,议会制君主立宪制,女王:伊丽莎白二世、首相:鲍里斯·约翰逊[6] ,伦敦[1] ,24.41万平方公里(包括内陆水域)[1] ,欧洲,东西十二区,英镑[1] ,英格兰人、威尔士人、苏格兰人、爱尔兰人[1] ,基督新教(圣公会、长老会)[1] ,"伯明翰,利兹,格拉斯哥,谢菲尔德,曼彻斯特,爱丁堡,利物浦等[1] ",英语[1] ,《天佑女王》,6月11日,伦敦,,英美法系,,,,,,,,,,,,,,,,,
亚洲,亚洲,,"Asia,アジア,آسيا",,,亚细亚洲,,,,,,,,,,,,,,,,,,,洲,,"东半球,北半球",东亚、东南亚、南亚、西亚、北亚、中亚,,,,,,,,,,,,
湾仔,湾仔区,,Wan Chai District,,,湾仔,,,,,,,,,,,,,,,,,,,非政权性地区,中华人民共和国香港特别行政区,香港岛中北部,"湾仔,铜锣湾,跑马地",,香港会议展览中心、金紫荆广场、香港大球场、跑马地马场,,,,,,,,,,
威斯康星州,威斯康星州,,Wisconsin (简写WI),,,美洲獾之州(The Badger State),,,,,,,,,,,,,,,,,,,,美国,,,麦迪逊,,,,,,,,,,,
华盛顿,乔治·华盛顿,,George Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度,印度共和国[1] ,,The Republic of India;India[1] ,,印度[1] ,,IND,议会制共和制,"总统:拉姆·纳特·考文德,总理:纳伦德拉·莫迪[4] ",新德里[1] ,2980000 km2[1] ,亚洲,UTC+5:30,印度卢比[1] ,印度斯坦族等100多个民族[1] ,印度教、伊斯兰教、锡克教[1] ,"孟买,加尔各答,金奈,班加罗尔,海得拉巴,昌迪加尔等[2] ",印地语、英语[2] ,《人民的意志》,1947年8月15日[1] ,,,英美法系,,,,,,,,,,,,,,,,,
日本,日本国[4] ,,Japan[4] ,,日本,,JPN,议会制君主立宪制,德仁(今上天皇)[7] 、菅义伟(首相),东京[4] ,377962 km2[4] ,亚洲,UTC+9,日元(円、¥、JPY、yen)[4] ,大和族、琉球族、阿伊努族[4] ,神道教[4] 、佛教,"大阪,横滨,名古屋,神户,福冈,京都,札幌,仙台,广岛等[4] ",,《君之代》[4] ,12月23日[4] ,,天皇,欧陆法系,,,,,,,银座、京都、富士山、平城京,,,,,,,,,,
澳大利亚,澳大利亚联邦[2] ,,Commonwealth of Australia[2] ,,澳大利亚、澳洲,,AUS,议会制君主立宪制,戴维·约翰·赫尔利(总督)、斯科特·莫里森(总理),堪培拉[2] ,7692000 km2[2] ,大洋洲,UTC+8至UTC+10,澳元[2] ,英裔澳大利亚人、亚裔澳大利亚人、澳洲原住民[2] ,基督新教、天主教,墨尔本、悉尼、布里斯班、珀斯、阿德莱德、达尔文、霍巴特等[2] ,英语[2] ,"《前进,美丽的澳大利亚》[3] ",1788年1月26日[2] ,,,,,,,,,,悉尼歌剧院、邦迪海滩、大堡礁,,,,,,,,,,
印度洋,印度洋,,"英语:Indian Ocean,阿拉伯语:المحيط الهندي,法语:Océan Indien",,,厄立特里亚海,,,,,,,,,,,,,,,,,,,,,"亚洲,非洲,大洋洲,南极洲之间",,,,,,,,,,,,,
新德里,新德里,,NEW DELHI,,,,,,,,,,,,,,,,,,,,,,首都,德里国家首都辖区,"东经77度,北纬28度",,,姆拉斯广场;印度门;泰姬陵,,,,,,,,,,
