实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
特朗普,唐纳德·特朗普[6] ,Donald Trump,Donald John Trump、川普,,美国,德意志人[1] ,,美国纽约,1946年6月14日,,政治家、企业家、房地产商人、电视人,,美国共和党,,,21亿美元(2020年4月)[7] ,宾夕法尼亚大学沃顿商学院,,,第45任美国总统(2016年-)《时代周刊》2016年度人物,做生意的艺术学徒,,,"特朗普是个善于反向思维的商人，极为务实的强人，同时也是一个难缠的政治异类。他搅乱了世界的秩序，也搅乱了人们对大国领袖的认知。在他崛起的背后，是一波汹涌的民粹主义潮流，是对贫富分化鸿沟的愤怒，也是美国乃至世界一道深深的分裂伤痕。对这样一位踏入美国最高政治殿堂的人物，人们喜欢也好，讨厌也罢，甚至讥讽或谩骂都无关紧要。爱或者不爱，他就在那里 。（《环球人物》评）
特朗普的执政风格可谓鲜明，直接以商人身份问鼎白宫，并将商战思维与行事特征直接带入美国政治之巅。一来精于谈判，尤其擅长极限施压与“议题打包”谈判；二来精于声势浩大地宣传，坚持以敏锐的直觉而非机制化的考量，最低成本地攫取最大程度的美国利益。特朗普的执政风格与手腕固然带有鲜明的个人烙印，但深度契合当前的时代背景。对民粹主义情绪的唤醒和集结，正是特朗普竞选与执政的重要根基。（中国人民大学重阳金融研究院宏观研究部副主任、研究员 陈晨晨评）
特朗普对美国进行的前所未有的民粹主义“改造”，使美国陷入了内外交乱的局面。（中国社会科学院美国研究所助理研究员 张一飞评）",,,,,,
布莱克,雅各布·布莱克,,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
斯蒂芬·比根,斯蒂芬·比根,,,,美国,,,,,,,,,,,,,,,福特公司副总裁,,,,,,,,,,
迈克尔·斯蒂尔,迈克尔·斯蒂尔,Michael Stephen Steele,,,,,,马里兰州乔治王子县,1958年10月19日,,,,,,,,,,,,,,,,,,,,,
斯蒂尔,迈克尔·斯蒂尔,Michael Steele,,,美国,,,"乔治王子县,马里兰州",1958年10月19日,政治家、律师,,,共和党,,,,法学院,,天主教,2007年被评为GOPAC,,,,,,,,,,
林肯,亚伯拉罕·林肯,Abraham Lincoln,林肯,,美国,,,美国肯塔基州哈丁县,1809年2月12日,政治家、律师,,,共和党,,,,,,自然神论、基督教,提出民有、民治、民享的纲领性口号解放黑奴颁布《宅地法》,《解放黑人奴隶宣言》、《宅地法》,,,"时任作战部长埃德温·M·斯坦顿：这里躺着世界上最完美的领袖。马克思主义创始人卡尔·马克思：他是一个不会被困难所吓倒、不会为成功所迷惑的人，他不屈不挠地迈向自己的伟大目标，而从不轻举妄动，他稳步向前，而从不倒退……总之，他是一位达到了伟大境界而仍然保持自己优良品质的罕有的人物。这位出类拔萃和道德高尚的人竟是那样谦虚，以致只有在他成为殉道者倒下去之后，全世界才发现他是一位英雄。俄国批判现实主义作家列夫·托尔斯泰：林肯总统由于具有“独特的精神力量和伟大的人格”，已经成为世界人民心目中的传奇人物 ，他的地位相当于音乐中的贝多芬，诗歌中的但丁，绘画中的拉斐尔和人生哲学中的基督。即使他不曾当选为总统，也将无可争辩地和现在一样伟大，但是这恐怕只有上帝知道。
美国军事家罗伯特·爱德华·李：林肯是我一生中最敬佩的人，尽管我们的政见不同。
美国废奴运动领袖弗雷德里克·道格拉斯：他是他党内强有力的人物，才智超群，阅历丰富；因为他那副滑稽可笑和说笑话不动声色的模样，他是西部最优秀的竞选演说家。
美国思想家拉尔夫·沃尔多·爱默生：林肯的历史，就是他那个时代美国人民的真实史。他一步步地走在他们的前头，他们慢他也慢，他们加快步伐他也加快步伐。他是这个大陆的真正代表，是全副身心献给社会活动的人，堪称合众国之父。美国女演员玛丽莲·梦露：林肯是美国历史上最性感的男人。 
林肯传记作家大卫·赫伯特·唐纳德：林肯是一个十足的矛盾体，既充满野心，又让人感觉不到半点野心；既是公认的和平主义者，又是不少人眼中的战争狂；关怀底层劳工的同时又被认为是北美资本家的代理人。
专栏作家卡米拉·卡文迪什：努力战斗赢得内战，维护国家统一，创建一个以《宪法》为准则的国家。
《洛杉矶时报》记者克里斯·艾尔斯：他是我们评判小组中最没有异议的伟大总统人选。 ",,,,,,
苏杰生,苏杰生,S. JAISHANKAR,,,印度,,,,,,"印度驻华大使,驻新加坡大使,外交部长",,,,,,,,印度教,"印度驻华大使,驻新加坡大使,外交部长",,,,,,,,,,
罗默,罗默,Ole Christensen Rømer,奥勒·罗默,,丹麦,丹麦人,,奥尔胡斯,1644.9.25,天文学家,,,,,,,哥本哈根大学,,,测量光速发明子午环和早期体温计把统一的度量衡和公历引入丹麦,,,,,,,,,,
彼得·纳瓦罗,彼得·纳瓦罗,Peter Navarro,,,美国,,,美国马萨诸塞州,1949年7月15日,经济学家,,,,,,,塔夫茨大学、哈佛大学,,,,《即将到来的中国战争》《被中国杀死》和《卧虎:中国军国主义对世界意味着什么》,,,,,,,,,
纳瓦罗,哈维·纳瓦罗,Francisco Javi Vicente Navarro,,,西班牙,,,巴伦西亚(西班牙),1974年2月6日,,,,,,,,,,,,,,,,,,,,,
玛丽亚,玛丽亚·凯克,Mariatu kargbo,黑珍珠玛丽亚、星光玛丽亚、马丽娅,,塞拉利昂,,,塞拉利昂,1986年5月13日,歌手,,,,,,,,,,2007年CCTV星光大道周冠军月冠军年分赛冠军2009年世界小姐最佳才艺奖、最佳时尚奖,嫁给中国人、大震撼、闪亮茗天、上古传说,,,"热衷公益事业的玛丽亚，不仅资助贫困学生、关爱无依儿童、关爱母婴健康、资助孤儿院、福利院，还创作公益歌曲、参与赈灾义演等。在2008年汶川地震时，玛丽亚是第一个进入四川灾区的外国人。玛丽亚还获得了“2012中国公益事业形象大使”称号。一直以来，致身于公益事业的玛丽亚，以自身的影响力，去带动更多爱心人士加入到公益事业。（新浪娱乐评）
玛丽亚多才多艺、能歌善舞。因参加央视《星光大道》被称为“星光玛丽亚”；2009年获得世界小姐才艺奖冠军和世界小姐时尚奖冠军，她又被人们赞为“黑珍珠玛丽亚”的美誉。（雅虎网评）",,,,,,
穆罕默杜·伊素福,穆罕默杜·伊素福,Mahamadou Issoufou,马哈马杜·伊素福,,,,,尼日尔塔瓦大区丹达吉市,1952年,,,,,,,,,,,,,,,,,,,,,
