实体名称,中文名,公司名称,外文名,别名,地址,总部,总部地点,成员国,成立时间,正式成立,组织机构,现任总领事,上级机构,隶属,所属地区,类型,所有者,所属公司,所属联盟,首席主编,主要产品,语种,类别,主办单位,编辑单位,创刊时间,国外发行代号,官网,主要奖项,知名校友,创办时间,创办人,创始人,办学性质,主管部门,硕士点,博士点,现任校长,董事长,主要院系,类型,所属行业,法定代表人,经营范围,公司类型,公司口号,著名产品
谷歌公司,,Google,Google,,,,美国加利福尼亚州圣克拉拉县山景市,,1998年9月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,埃里克·施密特,,,,,网络信息服务、搜索引擎、移动操作系统等,上市公司,"完美的搜索引擎,不作恶(Dont be evil)",
英国广播公司,,英国广播公司,,,,,英国伦敦,,1922年,,,,,,,,,,,,,,,,,,,http://www.bbc.com/,,,,,,,,,,,,,,,,广播公司,上市公司,,
美联社,,美国联合通讯社,,,,,纽约,,1846,,,,,,,,,,,,,,,,,,,http://ap.org/,,,,,,,,,,,,,,,,,通讯社,,
美国国务院,美国国务院,,United States Department of State,,,,,,1789年7月27日,,,,,,,,,,,,,,,,,,,http://www.state.gov/,,,,,,,,,,,,,,,,,,,
北大西洋公约组织,北大西洋公约组织,,"英语:North Atlantic Treaty Organization,缩写:NATO;法语:Organisation du Traité de l'Atlantique Nord,简称:OTAN)",,,比利时-布鲁塞尔,,30个,1949年8月25日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北约,北大西洋公约组织,,"英语:North Atlantic Treaty Organization,缩写:NATO;法语:Organisation du Traité de l'Atlantique Nord,简称:OTAN)",,,比利时-布鲁塞尔,,30个,1949年8月25日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欧盟,,,,,,,,德国、法国、意大利、西班牙等27国[1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
共和党,美国共和党,,Republican Party (US)/GOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外交部,外交部,,Ministry of Foreign Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德新社,德意志新闻社,,dpa,,,汉堡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白宫,白宫,,The White House,总统大厦、总统之宫,,,,,,,,,,,美国华盛顿哥伦比亚特区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联合国,联合国,,United Nations(UN);Organisation des Nations Unies;Naciones Unidas;Организация Объединённых Наций;الأمم المتحدة,,,美国-纽约-联合国总部大楼,,193个会员国、2个观察员国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联合国安理会,联合国安全理事会,,United Nations Security Council,,美国纽约市联合国总部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联合国总部,,联合国总部,Headquarters of the United Nations,,,,美国纽约,"193个成员国,2个观察员国,5个常任理事国",1947年至1952年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全球,全球联盟,,
新华社,新华通讯社,,Xinhua News Agency,,,,,,1931年11月7日,,,,,,,,,,,,,,,,,,,http://www.xinhuanet.com,,,,,,,,,,,,,,,,,,,
法新社,法国新闻社,,Agence France-Presse,,,,,,,,,,,,,,,,,,,,,,,,,http://www.afp.com/,,,,,,,,,,,,,,,,,,,
国际刑事法院,国际刑事法院,,英语:International Criminal Court(ICC)法语:Cour pénale internationale (CPI),,,,,,2002年7月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国务院,中华人民共和国国务院,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.gov.cn/,,,,,,,,,,,,,,,,,,,
美国众议院,美国众议院,,United States House of Representatives,,美国华盛顿哥伦比亚特区国会山庄,,,,,,,,,,,,,,,,,,,,,,,http://www.house.gov/,,,,,,,,,,,,,,,,,,,
