65---美国: 0.0408, 中国: 0.008, 国家: 0.0069, 报道: 0.0061, 总统: 0.0057, 政府: 0.0053, 公司: 0.0053, 国际: 0.0044, 经济: 0.0043, 疫情: 0.004, 伊朗: 0.0039, 政治: 0.0034, 企业: 0.0033, 官员: 0.0033, 组织: 0.0033, 世界: 0.0032, 社会: 0.0032, 制裁: 0.0032, 协议: 0.0031, 全球: 0.003
38---警卫队: 0.1201, 国民: 0.1059, 沙市: 0.1012, 骚乱: 0.0797, 威斯康星州: 0.0635, 建筑物: 0.0421, 白人: 0.0348, 警方: 0.0308, 枪击: 0.0268, 男子: 0.0267, 到访: 0.0238, 法律: 0.0218, 城市: 0.0215, 警察: 0.0207, 总统: 0.0201, 联邦: 0.0197, 指责: 0.0196, 黑人: 0.0177, 执法: 0.0175, 暴力: 0.0174
30---印度: 0.1038, 对峙: 0.0682, 洞朗: 0.0677, 金砖: 0.0594, 撤回: 0.0558, 峰会: 0.0521, 印方: 0.049, 舆论: 0.0479, 边境: 0.045, 地区: 0.0347, 印巴: 0.0321, 巴基斯坦: 0.0254, 飞行员: 0.0246, 冲突: 0.0239, 边界: 0.0171, 主权: 0.0166, 中国: 0.0158, 维护: 0.0156, 印军: 0.0155, 边境地区: 0.0143
66---中国: 0.0653, 美国: 0.0123, 国家: 0.0122, 南中国海: 0.0105, 发展: 0.008, 合作: 0.0071, 海域: 0.007, 国际: 0.0068, 军事: 0.0063, 关系: 0.0062, 世界: 0.0057, 海军: 0.0056, 主权: 0.0055, 连立: 0.0054, 看不到: 0.0054, 北京: 0.0053, 记者会: 0.0052, 南海: 0.0051, 台湾: 0.0049, 测定: 0.0049
9---冷战: 0.0504, 思维: 0.0474, 湄公河: 0.0458, 发展: 0.0452, 合作: 0.0401, 唾弃: 0.0389, 协商: 0.0379, 沦为: 0.0364, 地缘: 0.0353, 霸权: 0.0348, 透明: 0.0297, 关系: 0.0269, 双边关系: 0.0265, 越南: 0.026, 对抗: 0.0251, 国际法: 0.0229, 国际: 0.0227, 单边主义: 0.0216, 维护: 0.0185, 国家: 0.0178
57---人类: 0.0807, 罗马: 0.0801, 法院: 0.0762, 规约: 0.0698, 实施: 0.0687, 情报人员: 0.0679, 战争: 0.0643, 国际: 0.0455, 法国: 0.0416, 制裁: 0.0361, 北溪: 0.0322, 互补: 0.032, 管道: 0.0318, 天然气: 0.031, 调查: 0.0304, 威胁: 0.0278, 签署: 0.0273, 侵略: 0.0245, 项目: 0.0209, 美国: 0.0188
5---葬礼: 0.0488, 容量: 0.0465, 明尼苏达州: 0.0437, 评价: 0.0432, 婚礼: 0.0424, 感谢: 0.0402, 对抗: 0.0398, 聚会: 0.0381, 类似: 0.0358, 酒吧: 0.0329, 发布会: 0.0317, 维护: 0.0306, 例新: 0.03, 口罩: 0.0287, 保护: 0.0285, 物资: 0.0252, 社交: 0.0245, 州长: 0.0198, 新闻: 0.0189, 防疫: 0.0186
55---疫苗: 0.1421, 接种: 0.0585, 临床试验: 0.0345, 新冠: 0.0314, 试验: 0.0285, 公司: 0.0237, 病毒: 0.0236, 美国: 0.0198, 前提: 0.0188, 技术: 0.0181, 纽约州: 0.0159, 批准: 0.0154, 有效性: 0.0154, 州长: 0.0151, 分发: 0.0147, 联邦: 0.0135, 研制: 0.0128, 提供: 0.0119, 政府: 0.0114, 设施: 0.0114
69---报道: 0.0843, 激进派: 0.0556, 代理: 0.0466, 预计: 0.0402, 时期: 0.0342, 人选: 0.0306, 援引: 0.0281, 奥巴马: 0.0281, 足够: 0.0272, 播出: 0.0271, 国务卿: 0.0263, 拒绝: 0.0263, 愤怒: 0.0248, 成员: 0.0232, 担任: 0.0224, 回应: 0.0191, 发布: 0.0188, 节目: 0.0166, 总统: 0.0158, 消息: 0.0145
70---总统: 0.0927, 美国: 0.0256, 候选人: 0.0169, 选举: 0.015, 报道: 0.0142, 当选: 0.0139, 竞选: 0.0124, 奇怪: 0.0101, 格鲁吉亚: 0.009, 汲取: 0.0084, 出访: 0.0079, 媒体: 0.0077, 参议员: 0.0076, 形容: 0.0075, 全世界: 0.0073, 大选: 0.0073, 阿联酋: 0.0072, 发表: 0.0071, 奥巴马: 0.0071, 选举人: 0.007
1---山火: 0.0307, 大火: 0.0267, 加州: 0.0245, 劣迹: 0.0226, 公道: 0.0226, 倒车: 0.0221, 环境治理: 0.0216, 化学品: 0.021, 降解: 0.018, 塑料袋: 0.0172, 环境: 0.016, 京都: 0.016, 事实: 0.0156, 吸管: 0.0155, 污染: 0.0154, 塑料: 0.0154, 垃圾: 0.0154, 领域: 0.0153, 消防: 0.015, 工业化: 0.0146
54---邮寄: 0.1691, 选民: 0.0817, 投票: 0.0786, 邮政: 0.0657, 选票: 0.0507, 投递: 0.0443, 投票率: 0.0354, 大选: 0.0303, 数据: 0.03, 重罪: 0.03, 方式: 0.0281, 美国: 0.0279, 提前: 0.0264, 选举: 0.0256, 显示: 0.0241, 邮递: 0.0239, 导致: 0.0209, 投票站: 0.0162, 引发: 0.0145, 影响: 0.0137
7---字节: 0.0545, 跳动: 0.0508, 公司: 0.0445, 业务: 0.0392, 交易: 0.0345, 禁令: 0.0304, 消息人士: 0.0296, 禁止: 0.0294, 企业: 0.0255, 分享: 0.0243, 出售: 0.0238, 法官: 0.0221, 力量: 0.022, 经营: 0.0218, 概念: 0.0215, 无理: 0.0195, 美国: 0.0193, 用户: 0.0193, 期限: 0.0192, 中国: 0.0191
16---贴心: 0.1106, 禁用: 0.1057, 浏览器: 0.1021, 插件: 0.0957, 助手: 0.0808, 提醒: 0.0805, 参考: 0.0739, 视频: 0.0674, 导致: 0.0631, 改变: 0.0338, 声称: 0.0237, 口罩: 0.0236, 美国: 0.0176, 中国: 0.0133, 目的: 0.0115, 非裔: 0.0101, 网友: 0.0098, 抨击: 0.0095, 警察: 0.0085, 警方: 0.0084
2---飓风: 0.0541, 洪都拉斯: 0.0357, 登陆: 0.0292, 大熊猫: 0.0288, 美香: 0.0288, 动物园: 0.0288, 锁国: 0.0266, 产房: 0.0263, 老挝: 0.0254, 尼加拉瓜: 0.0254, 墨西哥湾: 0.0243, 水果: 0.0224, 公路: 0.0222, 母兽: 0.022, 铁路: 0.0214, 泥石流: 0.0207, 路易斯安那州: 0.0203, 中美洲: 0.0185, 喷发: 0.0172, 风速: 0.0171
21---武汉: 0.0794, 病毒: 0.0701, 实验室: 0.0587, 蝙蝠: 0.0564, 中国: 0.0351, 研究所: 0.0343, 证据: 0.0318, 泄露: 0.0289, 新冠: 0.0286, 疫情: 0.0278, 研究: 0.027, 动物: 0.0218, 科学家: 0.019, 起源: 0.0182, 传播: 0.0143, 肺炎: 0.0142, 市场: 0.0134, 感染: 0.0129, 生物: 0.0125, 患者: 0.0122
